as_of_date,fiscal_year,region,borrower_country,borrower_country_code,project_id,project_name,procurement_type,procurement_category,procurement_method,product_line,wb_contract_number,major_sector,contract_description,contract_signing_date,supplier,supplier_country,supplier_country_code,total_contract_amount_usd,borrower_contract_reference_number,serialid
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Albania,AL,P034491,Power Transmission & Distribution Project,Equipment Information Technology,Goods,Limited International Bidding,IBRD/IDA,1120049,Energy and mining,COMPUTERIZED PACKAGED SOFTWARE,1999-12-10,ORACLE SOFTWARE,Slovenia,SI,316200.00,PTDP/KESH/FM/02/98,32
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Albania,AL,P034491,Power Transmission & Distribution Project,Equipment Information Technology,Goods,Limited International Bidding,IBRD/IDA,1120049,"Public Administration, Law, and Justice",COMPUTERIZED PACKAGED SOFTWARE,1999-12-10,ORACLE SOFTWARE,Slovenia,SI,23800.00,PTDP/KESH/FM/02/98,33
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202323,Industry and trade,METERING PANELS FOR ENERGY MEASUREMENT IN TRANSMISSION NETWO,2000-08-29,ISKRAEMECO,Slovenia,SI,30636.00,RAP/EPC/1/RL-VDJ/234 LOT 1,2609
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202323,"Water, sanitation and flood protection",METERING PANELS FOR ENERGY MEASUREMENT IN TRANSMISSION NETWO,2000-08-29,ISKRAEMECO,Slovenia,SI,26923.00,RAP/EPC/1/RL-VDJ/234 LOT 1,2610
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202323,Energy and mining,METERING PANELS FOR ENERGY MEASUREMENT IN TRANSMISSION NETWO,2000-08-29,ISKRAEMECO,Slovenia,SI,22281.00,RAP/EPC/1/RL-VDJ/234 LOT 1,2612
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202323,"Public Administration, Law, and Justice",METERING PANELS FOR ENERGY MEASUREMENT IN TRANSMISSION NETWO,2000-08-29,ISKRAEMECO,Slovenia,SI,7427.00,RAP/EPC/1/RL-VDJ/234 LOT 1,2613
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202323,"Agriculture, fishing, and forestry",METERING PANELS FOR ENERGY MEASUREMENT IN TRANSMISSION NETWO,2000-08-29,ISKRAEMECO,Slovenia,SI,5570.00,RAP/EPC/1/RL-VDJ/234 LOT 1,2614
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202414,Energy and mining,"DIGITAL EQUIPMENT FOR DESIGN, DOCUMENTATION PREPARATION & PR",2000-06-27,ICL,Slovenia,SI,10048.00,RAP/EPC/1/RL-VDJ/234.E (LOT 5),2623
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202414,"Public Administration, Law, and Justice","DIGITAL EQUIPMENT FOR DESIGN, DOCUMENTATION PREPARATION & PR",2000-06-27,ICL,Slovenia,SI,3349.00,RAP/EPC/1/RL-VDJ/234.E (LOT 5),2624
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202414,"Agriculture, fishing, and forestry","DIGITAL EQUIPMENT FOR DESIGN, DOCUMENTATION PREPARATION & PR",2000-06-27,ICL,Slovenia,SI,2512.00,RAP/EPC/1/RL-VDJ/234.E (LOT 5),2625
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202414,Industry and trade,"DIGITAL EQUIPMENT FOR DESIGN, DOCUMENTATION PREPARATION & PR",2000-06-27,ICL,Slovenia,SI,13816.00,RAP/EPC/1/RL-VDJ/234.E (LOT 5),2635
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1202414,"Water, sanitation and flood protection","DIGITAL EQUIPMENT FOR DESIGN, DOCUMENTATION PREPARATION & PR",2000-06-27,ICL,Slovenia,SI,12142.00,RAP/EPC/1/RL-VDJ/234.E (LOT 5),2636
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1116523,Industry and trade,POWER TRANSFORMERS (PACKAGE B-03.A),1999-09-13,"""ETRA"" ENERGETSKI TRANSFORMATORJI D.D.",Slovenia,SI,60093.00,RAP/EPC/1/RL-VDJ/216.A,2744
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1116523,"Water, sanitation and flood protection",POWER TRANSFORMERS (PACKAGE B-03.A),1999-09-13,"""ETRA"" ENERGETSKI TRANSFORMATORJI D.D.",Slovenia,SI,52809.00,RAP/EPC/1/RL-VDJ/216.A,2757
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1116523,"Agriculture, fishing, and forestry",POWER TRANSFORMERS (PACKAGE B-03.A),1999-09-13,"""ETRA"" ENERGETSKI TRANSFORMATORJI D.D.",Slovenia,SI,10926.00,RAP/EPC/1/RL-VDJ/216.A,2761
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1116523,"Public Administration, Law, and Justice",POWER TRANSFORMERS (PACKAGE B-03.A),1999-09-13,"""ETRA"" ENERGETSKI TRANSFORMATORJI D.D.",Slovenia,SI,14568.00,RAP/EPC/1/RL-VDJ/216.A,2762
2013-07-21,2000,EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina,BA,P048462,Reconstruction Assistance to Republika Srpska Project,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1116523,Energy and mining,POWER TRANSFORMERS (PACKAGE B-03.A),1999-09-13,"""ETRA"" ENERGETSKI TRANSFORMATORJI D.D.",Slovenia,SI,43704.00,RAP/EPC/1/RL-VDJ/216.A,2763
2013-07-21,2000,EAST ASIA AND PACIFIC,China,CN,P003642,CN-ZHEJIANG POWER DEVT,"Equipment, Electrical",Goods,International Competitive Bidding,IBRD/IDA,1203500,Energy and mining,IFB-12 COMPOSITE FIBER OPTICAL GROUND WIRE,2000-06-09,PIRELLI CABLES AND SYSTEMS S.A.,Slovenia,SI,1078985.00,2000IJBJGB/022037CH,4900
